"","SITE.NUMBE","Longitude","Latitude"
"1",6,148.692398,-34.471098
"2",15,148.696846,-34.469837
"3",17,148.700741,-34.467961
"4",28,148.697118,-34.47031
"5",1,148.689633,-34.468953
"6",32,148.697808,-34.46972
"7",12,148.695019,-34.472078
"8",29,148.698421,-34.473224
"9",26,148.687581,-34.467514
"10",11,148.691556,-34.468679
"11",2,148.693812,-34.469677
"12",34,148.697588,-34.465737
"13",9,148.685405,-34.469659
"14",7,148.702703,-34.468973
"15",20,148.690179,-34.469108
"16",35,148.691112,-34.474403
"17",14,148.700088,-34.467414
"18",18,148.694535,-34.468364
"19",27,148.693725,-34.480844
"20",33,148.690005,-34.473903
"21",19,148.692874,-34.476963
"22",16,148.682969,-34.467418
"23",13,148.68828,-34.477412
"24",5,148.695135,-34.467464
"25",24,148.685144,-34.467244
"26",8,148.695883,-34.475391
"27",30,148.696295,-34.47941
"28",31,148.697795,-34.478758
"29",25,148.698749,-34.473665
"30",36,148.694486,-34.476834
"31",23,148.693209,-34.466071
"32",4,148.699219,-34.480936
"33",21,148.696836,-34.477601
